period,flow,code,description,unit,quantity_mo_reported,quantity_ytd_reported,quantity_mo_grams,quantity_ytd_grams,value_mo_usd,value_ytd_usd,source_url,quantity_suppressed
1991-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,291681214,2686676191,291681214,2686676191,,,https://dataweb.usitc.gov/,False
1991-12,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,105991542,1518477154,105991542,1518477154,,,https://dataweb.usitc.gov/,False
1992-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,308012852,308012852,308012852,308012852,,,https://dataweb.usitc.gov/,False
1992-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,382179125,382179125,382179125,382179125,,,https://dataweb.usitc.gov/,False
1992-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,327303972,635316824,327303972,635316824,,,https://dataweb.usitc.gov/,False
1992-02,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,93711555,475890680,93711555,475890680,,,https://dataweb.usitc.gov/,False
1992-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,289324599,924641423,289324599,924641423,,,https://dataweb.usitc.gov/,False
1992-03,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,91092712,566983392,91092712,566983392,,,https://dataweb.usitc.gov/,False
1992-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,265123360,1189764783,265123360,1189764783,,,https://dataweb.usitc.gov/,False
1992-04,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,117543887,684527279,117543887,684527279,,,https://dataweb.usitc.gov/,False
1992-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,276026772,1465791555,276026772,1465791555,,,https://dataweb.usitc.gov/,False
1992-05,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,107017994,791545273,107017994,791545273,,,https://dataweb.usitc.gov/,False
1992-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,202342352,1668133907,202342352,1668133907,,,https://dataweb.usitc.gov/,False
1992-06,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,39741690,831286963,39741690,831286963,,,https://dataweb.usitc.gov/,False
1992-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,256571664,1924705571,256571664,1924705571,,,https://dataweb.usitc.gov/,False
1992-07,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,90768225,922055188,90768225,922055188,,,https://dataweb.usitc.gov/,False
1992-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,284830316,2209535887,284830316,2209535887,,,https://dataweb.usitc.gov/,False
1992-08,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,109700482,1031755670,109700482,1031755670,,,https://dataweb.usitc.gov/,False
1992-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,222565687,2432101574,222565687,2432101574,,,https://dataweb.usitc.gov/,False
1992-09,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,81157850,1112913520,81157850,1112913520,,,https://dataweb.usitc.gov/,False
1992-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,298883162,2730984736,298883162,2730984736,,,https://dataweb.usitc.gov/,False
1992-10,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,135699868,1248613388,135699868,1248613388,,,https://dataweb.usitc.gov/,False
1992-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,237931869,2968916605,237931869,2968916605,,,https://dataweb.usitc.gov/,False
1992-11,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,117491579,1366104967,117491579,1366104967,,,https://dataweb.usitc.gov/,False
1992-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,249435167,3218351772,249435167,3218351772,,,https://dataweb.usitc.gov/,False
1992-12,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,60865134,1426970101,60865134,1426970101,,,https://dataweb.usitc.gov/,False
