月份,进口数量(吨),转口数量(吨),出口总额数量(吨),进口货值(千港元),转口货值(千港元),出口总额货值(千港元),进口货值(亿美元),出口总额货值(亿美元),净流入数量(吨),净流入货值(千港元),进口隐含单价(美元/kg),出口隐含单价(美元/kg)
202403,272.5,211.0,221.2,1555393,1250057,1309373,0.20,0.17,+51.3,246020,731.84,758.85
202404,385.8,340.1,382.0,2331252,2244621,2528053,0.30,0.32,+3.7,-196801,774.76,848.35
202405,329.5,524.9,563.8,2197090,3631145,3902447,0.28,0.50,-234.4,-1705357,854.92,887.34
202406,448.9,231.9,279.4,2981743,1732770,2093200,0.38,0.27,+169.5,888543,851.66,960.58
202407,327.1,408.6,419.9,2131576,3088206,3168258,0.27,0.41,-92.8,-1036682,835.51,967.30
202408,386.4,200.5,206.8,2673348,1396740,1440228,0.34,0.18,+179.6,1233120,886.97,892.96
202409,434.8,479.4,529.8,3142678,3453412,3813363,0.40,0.49,-95.0,-670685,926.55,922.79
202410,416.9,529.5,583.4,3054919,4065409,4479440,0.39,0.57,-166.5,-1424521,939.49,984.46
202411,556.1,382.4,426.5,4238456,3104855,3442987,0.54,0.44,+129.6,795469,977.18,1034.99
202412,601.9,474.0,559.0,4557613,3647218,4325307,0.58,0.55,+42.9,232306,970.78,992.04
202501,358.4,505.5,555.0,2623171,3763098,4145103,0.34,0.53,-196.5,-1521932,938.23,957.56
202502,435.0,215.6,227.6,3271850,1691900,1781431,0.42,0.23,+207.5,1490419,964.26,1003.67
202503,426.6,435.0,471.0,3280975,3533905,3832593,0.42,0.49,-44.4,-551618,985.96,1043.12
202504,511.4,433.6,461.2,3926241,3478081,3700470,0.50,0.47,+50.3,225771,984.22,1028.73
202505,563.7,468.0,485.2,4425271,3812994,3951213,0.57,0.51,+78.5,474058,1006.50,1044.09
202506,563.2,384.7,451.1,4757250,3362934,3923200,0.61,0.50,+112.1,834050,1082.94,1115.01
202507,445.4,451.2,480.0,3760480,4074885,4335003,0.48,0.56,-34.6,-574523,1082.45,1157.95
202508,460.0,420.4,439.7,4050926,3978643,4157859,0.52,0.53,+20.3,-106933,1129.05,1212.26
202509,426.1,342.4,360.5,4095491,3319453,3506093,0.53,0.45,+65.6,589398,1232.24,1246.90
202510,720.0,454.8,637.6,7433285,5247629,7509271,0.95,0.96,+82.4,-75986,1323.58,1509.93
202511,541.8,349.0,510.1,5827578,4229925,6245513,0.75,0.80,+31.7,-417935,1379.06,1569.74
202512,489.5,88.1,238.2,6054507,1080445,3230470,0.78,0.41,+251.3,2824037,1585.76,1739.03
202601,542.7,151.9,234.3,9627133,3098518,4648289,1.23,0.60,+308.4,4978844,2274.42,2543.34
202602,1122.1,313.2,367.5,24968302,7525581,8696232,3.20,1.11,+754.6,16272070,2852.67,3033.58
202603,1332.7,378.9,425.9,27758562,8061343,9089541,3.56,1.17,+906.8,18669021,2670.35,2736.13
202604,794.1,260.9,295.6,15290673,5484701,6200257,1.96,0.79,+498.5,9090416,2468.52,2689.00
202605,541.5,116.9,140.0,10445588,1939746,2391918,1.34,0.31,+401.5,8053670,2473.09,2189.68
