period_type,period,flow,import_tonnes,export_tonnes,net_import_tonnes,source,notes,confidence,series
month,2019-08,both,249.922,224.595,25.327,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-09,both,456.48,98.297,358.183,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-10,both,329.634,110.334,219.3,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-11,both,226.604,9.072,217.532,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2019-12,both,313.534,22.139,291.395,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-01,both,243.439,73.95,169.489,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-02,both,218.434,20.22,198.214,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-03,both,242.613,71.051,171.562,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-04,both,146.682,583.445,-436.763,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-05,both,236.413,523.198,-286.785,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-06,both,331.576,1021.567,-689.991,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-07,both,207.616,601.022,-393.406,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-08,both,256.066,702.413,-446.347,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-09,both,382.334,509.55,-127.216,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-10,both,463.87,258.672,205.198,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-11,both,377.907,321.245,56.662,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2020-12,both,424.448,203.701,220.747,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
