品种,日期,仓库代码,仓库名称,昨日仓单,今日注册,今日注销,今日仓单,增减
铂,20260602,204,贵研易门,70,0,0,70,0
铂,20260602,205,中博世金,2500,0,30,2470,-30
铂,20260602,206,浩通科技,280,0,0,280,0
铂,20260602,207,贺利氏,10,0,0,10,0
铂,20260602,208,英特派,1,0,0,1,0
铂,20260602,211,励福江门,2,0,0,2,0
钯,20260602,001,中储吴淞,10,0,0,10,0
钯,20260602,200,中工美上海虹桥,408,0,0,408,0
钯,20260602,201,外运华东上海虹桥,500,0,0,500,0
钯,20260602,202,深圳威豹,3917,269,50,4136,219
钯,20260602,204,贵研易门,100,0,0,100,0
钯,20260602,205,中博世金,140,0,0,140,0
钯,20260602,206,浩通科技,35,0,0,35,0
钯,20260602,207,贺利氏,10,0,0,10,0
钯,20260602,211,励福江门,5,0,0,5,0
铂,20260603,200,中工美上海虹桥,618,0,0,618,0
铂,20260603,201,外运华东上海虹桥,119,0,0,119,0
铂,20260603,202,深圳威豹,1556,0,0,1556,0
铂,20260603,204,贵研易门,70,0,0,70,0
铂,20260603,205,中博世金,2470,0,3,2467,-3
铂,20260603,206,浩通科技,280,0,0,280,0
铂,20260603,207,贺利氏,10,0,0,10,0
铂,20260603,208,英特派,1,0,0,1,0
铂,20260603,211,励福江门,2,0,0,2,0
钯,20260603,001,中储吴淞,10,0,0,10,0
钯,20260603,200,中工美上海虹桥,408,0,0,408,0
钯,20260603,201,外运华东上海虹桥,500,0,0,500,0
钯,20260603,202,深圳威豹,4136,10,13,4133,-3
钯,20260603,204,贵研易门,100,0,0,100,0
钯,20260603,205,中博世金,140,0,0,140,0
钯,20260603,206,浩通科技,35,0,0,35,0
钯,20260603,207,贺利氏,10,0,0,10,0
钯,20260603,211,励福江门,5,0,0,5,0
铂,20260604,200,中工美上海虹桥,618,0,0,618,0
铂,20260604,201,外运华东上海虹桥,119,0,0,119,0
铂,20260604,202,深圳威豹,1556,0,6,1550,-6
铂,20260604,204,贵研易门,70,0,0,70,0
铂,20260604,205,中博世金,2467,0,54,2413,-54
铂,20260604,206,浩通科技,280,0,0,280,0
铂,20260604,207,贺利氏,10,0,0,10,0
铂,20260604,208,英特派,1,10,0,11,10
铂,20260604,211,励福江门,2,0,0,2,0
钯,20260604,001,中储吴淞,10,0,0,10,0
钯,20260604,200,中工美上海虹桥,408,0,0,408,0
钯,20260604,201,外运华东上海虹桥,500,0,0,500,0
钯,20260604,202,深圳威豹,4133,100,58,4175,42
钯,20260604,204,贵研易门,100,0,0,100,0
钯,20260604,205,中博世金,140,0,0,140,0
钯,20260604,206,浩通科技,35,0,0,35,0
钯,20260604,207,贺利氏,10,0,0,10,0
钯,20260604,211,励福江门,5,0,0,5,0
铂,20260605,200,中工美上海虹桥,618,0,0,618,0
铂,20260605,201,外运华东上海虹桥,119,0,0,119,0
铂,20260605,202,深圳威豹,1550,0,15,1535,-15
铂,20260605,204,贵研易门,70,0,0,70,0
铂,20260605,205,中博世金,2413,0,80,2333,-80
铂,20260605,206,浩通科技,280,0,0,280,0
铂,20260605,207,贺利氏,10,0,0,10,0
铂,20260605,208,英特派,11,0,0,11,0
铂,20260605,211,励福江门,2,0,0,2,0
钯,20260605,001,中储吴淞,10,0,0,10,0
钯,20260605,200,中工美上海虹桥,408,0,0,408,0
钯,20260605,201,外运华东上海虹桥,500,0,0,500,0
钯,20260605,202,深圳威豹,4175,195,82,4288,113
钯,20260605,204,贵研易门,100,0,0,100,0
钯,20260605,205,中博世金,140,0,3,137,-3
钯,20260605,206,浩通科技,35,0,0,35,0
钯,20260605,207,贺利氏,10,0,0,10,0
钯,20260605,211,励福江门,5,0,0,5,0
铂,20260608,200,中工美上海虹桥,618,0,43,575,-43
铂,20260608,201,外运华东上海虹桥,119,0,0,119,0
铂,20260608,202,深圳威豹,1535,0,10,1525,-10
铂,20260608,204,贵研易门,70,0,0,70,0
铂,20260608,205,中博世金,2333,0,240,2093,-240
铂,20260608,206,浩通科技,280,0,0,280,0
铂,20260608,207,贺利氏,10,0,0,10,0
铂,20260608,208,英特派,11,0,0,11,0
铂,20260608,211,励福江门,2,0,0,2,0
钯,20260608,001,中储吴淞,10,0,0,10,0
钯,20260608,200,中工美上海虹桥,408,0,0,408,0
钯,20260608,201,外运华东上海虹桥,500,0,0,500,0
钯,20260608,202,深圳威豹,4288,50,62,4276,-12
钯,20260608,204,贵研易门,100,0,0,100,0
钯,20260608,205,中博世金,137,0,0,137,0
钯,20260608,206,浩通科技,35,0,0,35,0
钯,20260608,207,贺利氏,10,0,0,10,0
钯,20260608,211,励福江门,5,0,0,5,0
铂,20260609,200,中工美上海虹桥,575,204,0,779,204
铂,20260609,201,外运华东上海虹桥,119,0,0,119,0
铂,20260609,202,深圳威豹,1525,0,10,1515,-10
铂,20260609,204,贵研易门,70,0,0,70,0
铂,20260609,205,中博世金,2093,0,45,2048,-45
铂,20260609,206,浩通科技,280,0,0,280,0
铂,20260609,207,贺利氏,10,0,0,10,0
铂,20260609,208,英特派,11,0,0,11,0
铂,20260609,211,励福江门,2,0,0,2,0
钯,20260609,001,中储吴淞,10,0,0,10,0
钯,20260609,200,中工美上海虹桥,408,0,0,408,0
钯,20260609,201,外运华东上海虹桥,500,0,0,500,0
钯,20260609,202,深圳威豹,4276,49,72,4253,-23
钯,20260609,204,贵研易门,100,0,0,100,0
钯,20260609,205,中博世金,137,0,6,131,-6
钯,20260609,206,浩通科技,35,0,0,35,0
钯,20260609,207,贺利氏,10,0,0,10,0
钯,20260609,211,励福江门,5,0,0,5,0
铂,20260610,200,中工美上海虹桥,779,20,0,799,20
铂,20260610,201,外运华东上海虹桥,119,0,0,119,0
铂,20260610,202,深圳威豹,1515,53,0,1568,53
铂,20260610,204,贵研易门,70,0,50,20,-50
铂,20260610,205,中博世金,2048,300,59,2289,241
铂,20260610,206,浩通科技,280,0,60,220,-60
铂,20260610,207,贺利氏,10,0,0,10,0
铂,20260610,208,英特派,11,389,10,390,379
铂,20260610,211,励福江门,2,0,0,2,0
钯,20260610,001,中储吴淞,10,0,0,10,0
钯,20260610,200,中工美上海虹桥,408,0,0,408,0
钯,20260610,201,外运华东上海虹桥,500,0,0,500,0
钯,20260610,202,深圳威豹,4253,30,46,4237,-16
钯,20260610,204,贵研易门,100,0,0,100,0
钯,20260610,205,中博世金,131,0,0,131,0
钯,20260610,206,浩通科技,35,0,0,35,0
