date,open,high,low,close,change,change_pct,avg_price,volume_kg,turnover_yuan,open_interest
2026-02-13,19722.00,19850.00,18005.00,19270.00,-649,-3.26%,18852.00,305026,5750576832,3080150
2026-02-24,21970.00,22000.00,20768.00,21486.00,2634,13.97%,21361.00,200612,4285341562,3078878
2026-02-25,21499.00,22400.00,21123.00,22131.00,770,3.60%,21846.00,244086,5332526122,3087676
2026-02-26,22165.00,22418.00,21570.00,21600.00,-246,-1.13%,21911.00,226742,4968332338,3074428
2026-02-27,21280.00,22418.00,21015.00,22369.00,458,2.09%,22045.00,498864,10997898918,2988126
2026-03-02,22150.00,24000.00,22150.00,23952.00,1907,8.65%,23490.00,820092,19264123694,2951328
2026-03-03,23766.00,23900.00,20700.00,21427.00,-2063,-8.78%,22264.00,504106,11223491254,2979878
2026-03-04,20301.00,21680.00,20022.00,21561.00,-703,-3.16%,21215.00,546706,11598737144,2977650
2026-03-05,21820.00,21935.00,20400.00,21068.00,-147,-0.69%,21187.00,431928,9151578430,2966324
2026-03-06,21370.00,21427.00,20719.00,21350.00,163,0.77%,21205.00,311098,6597074248,2941700
2026-03-09,21000.00,21564.00,20300.00,21290.00,85,0.40%,21104.00,466374,9842466460,2930272
2026-03-10,21300.00,22575.00,21185.00,22290.00,1186,5.62%,22262.00,346662,7717421460,2892498
2026-03-11,22270.00,22530.00,21923.00,21999.00,-263,-1.18%,22215.00,195490,4342831342,2860266
2026-03-12,21750.00,22000.00,21341.00,21851.00,-364,-1.64%,21589.00,415788,8976652222,2871008
2026-03-13,21950.00,22200.00,20753.00,20887.00,-702,-3.25%,21320.00,226134,4821238800,2886170
2026-03-16,21150.00,21334.00,19800.00,20077.00,-1243,-5.83%,20214.00,288302,5827842746,2886542
2026-03-17,20010.00,20709.00,20010.00,20330.00,116,0.57%,20404.00,172512,3519942440,2887258
2026-03-18,20110.00,20378.00,19559.00,19966.00,-438,-2.15%,19867.00,1668560,33150682290,2900004
2026-03-19,19716.00,19716.00,17636.00,17990.00,-1877,-9.45%,18820.00,448610,8442963722,2902818
2026-03-20,17505.00,18550.00,16119.00,17780.00,-1040,-5.53%,17851.00,519902,9280854426,2918764
2026-03-23,17877.00,17895.00,15060.00,15269.00,-2582,-14.46%,16307.00,478842,7808594698,2916420
