month,imports_kg,exports_kg,net_import_kg,imports_tonnes,exports_tonnes,net_import_tonnes,source,import_source_url,export_source_url,fetched_at
2023-06,60431,23133,37298,60.431,23.133,37.298,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-07,52735,3974,48761,52.735,3.974,48.761,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-08,202055,7386,194669,202.055,7.386,194.669,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-09,104357,4849,99508,104.357,4.849,99.508,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-10,1716538,3596,1712942,1716.538,3.596,1712.942,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-11,574575,4598,569977,574.575,4.598,569.977,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2023-12,154878,4411,150467,154.878,4.411,150.467,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-01,473043,5015,468028,473.043,5.015,468.028,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-02,1798741,4154,1794587,1798.741,4.154,1794.587,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-03,710705,3341,707364,710.705,3.341,707.364,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-04,154492,2394,152098,154.492,2.394,152.098,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-05,102528,26238,76290,102.528,26.238,76.290,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-06,109099,189800,-80701,109.099,189.800,-80.701,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-07,103307,15124,88183,103.307,15.124,88.183,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-08,1226584,6012,1220572,1226.584,6.012,1220.572,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-09,593996,4397,589599,593.996,4.397,589.599,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-10,469157,168459,300698,469.157,168.459,300.698,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-11,488869,2957,485912,488.869,2.957,485.912,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2024-12,421447,97045,324402,421.447,97.045,324.402,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
